x,y,label
373.0,2128.0,1.0
650.0,3639.0,1.0
18.0,-736.0,1.0
895.0,5318.0,1.0
833.0,4796.0,1.0
223.0,933.0,1.0
587.0,3400.0,1.0
361.0,2142.0,1.0
148.0,565.0,1.0
679.0,3341.0,1.0
633.0,3049.0,1.0
933.0,5490.0,1.0
354.0,1951.0,1.0
810.0,4504.0,1.0
655.0,3301.0,1.0
357.0,2032.0,1.0
526.0,2568.0,1.0
369.0,1708.0,1.0
256.0,1244.0,1.0
374.0,2221.0,1.0
993.0,5550.0,1.0
947.0,5059.0,1.0
551.0,3144.0,1.0
872.0,4904.0,1.0
381.0,2271.0,1.0
191.0,1068.0,1.0
277.0,1288.0,1.0
926.0,4954.0,1.0
421.0,1865.0,1.0
480.0,2758.0,1.0
613.0,3175.0,1.0
306.0,948.0,1.0
533.0,2903.0,1.0
83.0,-164.0,1.0
489.0,2085.0,1.0
783.0,4404.0,1.0
281.0,809.0,1.0
604.0,2791.0,1.0
820.0,4037.0,1.0
235.0,503.0,1.0
931.0,4911.0,1.0
185.0,291.0,1.0
777.0,4237.0,1.0
907.0,5149.0,1.0
348.0,1549.0,1.0
881.0,4408.0,1.0
343.0,1849.0,1.0
966.0,5113.0,1.0
303.0,969.0,1.0
373.0,1776.0,1.0
917.0,4571.0,1.0
463.0,2262.0,1.0
335.0,1297.0,1.0
736.0,3916.0,1.0
711.0,3560.0,1.0
427.0,1974.0,1.0
365.0,1841.0,1.0
290.0,1320.0,1.0
519.0,3057.0,1.0
681.0,3818.0,1.0
481.0,2732.0,1.0
531.0,2700.0,1.0
994.0,5850.0,1.0
694.0,3424.0,1.0
119.0,-58.0,1.0
985.0,5757.0,1.0
286.0,755.0,1.0
619.0,2807.0,1.0
289.0,1691.0,1.0
322.0,1243.0,1.0
382.0,2081.0,1.0
917.0,4597.0,1.0
440.0,2455.0,1.0
198.0,389.0,1.0
782.0,3965.0,1.0
209.0,1030.0,1.0
626.0,3016.0,1.0
980.0,5478.0,1.0
601.0,2774.0,1.0
402.0,2056.0,1.0
615.0,3291.0,1.0
704.0,3418.0,1.0
404.0,1530.0,1.0
796.0,4533.0,1.0
478.0,2212.0,1.0
124.0,201.0,1.0
640.0,3494.0,1.0
736.0,3637.0,1.0
716.0,3508.0,1.0
720.0,4169.0,1.0
50.0,-363.0,1.0
637.0,3424.0,1.0
559.0,2496.0,1.0
98.0,-310.0,1.0
666.0,3248.0,1.0
748.0,3902.0,1.0
878.0,4701.0,1.0
302.0,946.0,1.0
641.0,3263.0,1.0
486.0,2086.0,1.0
937.0,5458.0,1.0
544.0,2377.0,1.0
400.0,2051.0,1.0
435.0,2522.0,1.0
724.0,4259.0,1.0
428.0,2180.0,1.0
157.0,503.0,1.0
415.0,1990.0,1.0
976.0,5086.0,1.0
256.0,783.0,1.0
103.0,-47.0,1.0
979.0,5257.0,1.0
13.0,-738.0,1.0
42.0,-53.0,1.0
19.0,-787.0,1.0
171.0,878.0,1.0
473.0,2161.0,1.0
761.0,4509.0,1.0
0.0,-963.0,1.0
785.0,4343.0,1.0
823.0,4279.0,1.0
355.0,1319.0,1.0
153.0,174.0,1.0
562.0,3178.0,1.0
301.0,1222.0,1.0
778.0,4575.0,1.0
92.0,-3.0,1.0
95.0,-61.0,1.0
648.0,3254.0,1.0
587.0,3030.0,1.0
81.0,-84.0,1.0
595.0,2970.0,1.0
300.0,1070.0,1.0
313.0,1560.0,1.0
858.0,4598.0,1.0
656.0,3844.0,1.0
544.0,2281.0,1.0
467.0,1919.0,1.0
360.0,1959.0,1.0
744.0,4140.0,1.0
723.0,3990.0,1.0
534.0,2755.0,1.0
329.0,1275.0,1.0
289.0,1345.0,1.0
670.0,3264.0,1.0
431.0,2125.0,1.0
481.0,2198.0,1.0
220.0,539.0,1.0
6.0,0.0,1.0
277.0,1044.0,1.0
656.0,3816.0,1.0
0.0,-455.0,1.0
128.0,557.0,1.0
237.0,501.0,1.0
161.0,512.0,1.0
120.0,340.0,1.0
824.0,4344.0,1.0
164.0,621.0,1.0
596.0,3420.0,1.0
836.0,4735.0,1.0
626.0,3180.0,1.0
278.0,997.0,1.0
918.0,5189.0,1.0
799.0,4303.0,1.0
413.0,2274.0,1.0
850.0,4609.0,1.0
840.0,4315.0,1.0
480.0,2529.0,1.0
374.0,1696.0,1.0
846.0,4698.0,1.0
658.0,3357.0,1.0
585.0,3216.0,1.0
727.0,3706.0,1.0
371.0,1414.0,1.0
5.0,-169.0,1.0
688.0,3788.0,1.0
199.0,511.0,1.0
390.0,1422.0,1.0
207.0,1140.0,1.0
850.0,4895.0,1.0
877.0,5021.0,1.0
783.0,3945.0,1.0
444.0,2515.0,1.0
724.0,3387.0,1.0
361.0,1889.0,1.0
487.0,2755.0,1.0
858.0,4636.0,1.0
692.0,3450.0,1.0
610.0,3624.0,1.0
